genres,original_title,director,production_companies
"action,adventure,science fiction,thriller",Star Trek III: The Search for Spock,Leonard Nimoy,Paramount Pictures
"crime,drama,horror,thriller",The Exorcism of Emily Rose,Scott Derrickson,"Lakeshore Entertainment,Firm Films,Screen Gems"
comedy,Deuce Bigalow: Male Gigolo,Mike Mitchell,"Happy Madison Productions,Quinta Communications,Touchstone Pictures"
"action,science fiction,thriller",Left Behind,Vic Armstrong,Stoney Lake Entertainment
"comedy,drama,romance",The Family Stone,Thomas Bezucha,Fox 2000 Pictures
"comedy,drama",Barbershop 2:  Back in Business,Kevin Rodney Sullivan,Metro-Goldwyn-Mayer (MGM)
"comedy,crime,drama",Bad Santa,Terry Zwigoff,"Columbia Pictures,Triptych Pictures,Dimension Films (US version)"
"comedy,crime,science fiction",Austin Powers: International Man of Mystery,Jay Roach,"New Line Cinema,Capella International,Eric's Boy"
"comedy,family,romance",My Big Fat Greek Wedding 2,Kirk Jones,"Universal Pictures,Playtone,HBO Films,Gold Circle Films"
"comedy,family",Diary of a Wimpy Kid: Rodrick Rules,David Bowers,"Fox 2000 Pictures,Color Force"
"action,adventure,science fiction,thriller",Predator,John McTiernan,"Twentieth Century Fox Film Corporation,Lawrence Gordon Productions,Davis Entertainment,Silver Pictures,Amercent Films,American Entertainment Partners L.P."
"drama,history,music",Amadeus,Milo\u0161 Forman,Warner Bros.
"crime,horror",Prom Night,Nelson McCormick,Alliance Films
comedy,Mean Girls,Mark Waters,"Paramount Pictures,Broadway Video,M.G. Films"
"comedy,drama,romance",Under the Tuscan Sun,Audrey Wells,"Timnick Films,Blue Gardenia Productions,Touchstone Pictures,Tatiale Films"
"drama,mystery,thriller",Gosford Park,Robert Altman,USA Films
"comedy,drama,fantasy,romance",Peggy Sue Got Married,Francis Ford Coppola,"American Zoetrope,TriStar Pictures"
"comedy,drama",Birdman,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu,"Worldview Entertainment,New Regency Pictures,TSG Entertainment,Le Grisbi Productions,M Productions"
"comedy,drama",Blue Jasmine,Woody Allen,Perdido Productions
"action,crime,drama,history,thriller",United 93,Paul Greengrass,"Universal Pictures,StudioCanal,Sidney Kimmel Entertainment,Working Title Films"
"family,music,romance",Honey,Bille Woodruff,"Universal Pictures,Marc Platt Productions,NuAmerica Entertainment"
"action,comedy",Spy Hard,Rick Friedberg,Hollywood Pictures
horror,The Fog,John Carpenter,"AVCO Embassy Pictures,EDI,Debra Hill Productions"
"action,drama",Soul Surfer,Sean McNamara,"Mandalay Pictures,TriStar Pictures,Brookwell-McNamara Entertainment,FilmDistrict,Affirm Films"
"comedy,drama,war",Catch-22,Mike Nichols,"Paramount Pictures,Filmways Productions"
"comedy,crime,drama",Observe and Report,Jody Hill,"Legendary Pictures,De Line Pictures"
"action,adventure,fantasy",Conan the Destroyer,Richard Fleischer,De Laurentiis Entertainment Group
drama,Raging Bull,Martin Scorsese,United Artists
"drama,romance",Love Happens,Brandon Camp,"Universal Pictures,Stuber Productions,Camp / Thompson Pictures,Relativity Media,Scion Films,Traveling Film Productions"
"action,adventure,crime,drama,family",Young Sherlock Holmes,Barry Levinson,"Paramount Pictures,Amblin Entertainment"
"comedy,drama,music,romance",Fame,Kevin Tancharoen,"United Artists,Lakeshore Entertainment,Metro-Goldwyn-Mayer (MGM)"
"adventure,drama,thriller",127 Hours,Danny Boyle,"Fox Searchlight Pictures,Warner Bros.,Cloud Eight Films,Pathé,Film4,Everest Entertainment,HandMade Films"
"action,comedy,crime",Small Time Crooks,Woody Allen,DreamWorks SKG
"drama,music",Center Stage,Nicholas Hytner,Columbia Pictures
"comedy,family",Love the Coopers,Jessie Nelson,"Imagine Entertainment,Groundswell Productions,CBS Films"
"action,adventure,family",Catch That Kid,Bart Freundlich,"Fox 2000 Pictures,Mad Chance,Nimbus Film Productions,Mediastream Dritte Film GmbH & Co. Beteiligungs KG,Splendid Productions"
drama,Life as a House,Irwin Winkler,New Line Cinema
"drama,history",Steve Jobs,Danny Boyle,"Universal Pictures,Scott Rudin Productions,Legendary Pictures,The Mark Gordon Company,Management 360,Cloud Eight Films"
"comedy,romance","I Love You, Beth Cooper",Chris Columbus,"Ingenious Film Partners,1492 Pictures,Fox Atomic,Dune Entertainment III,Bece Canada Productions"
"comedy,drama,romance",Youth in Revolt,Miguel Arteta,Dimension Films
"action,adventure,romance,western",The Legend of the Lone Ranger,William A. Fraker,ITC Entertainment
"drama,thriller",The Tailor of Panama,John Boorman,"Columbia Pictures,Merlin Films"
"drama,mystery,thriller",Blow Out,Brian De Palma,Cinema 77
"action,crime",Getaway,Courtney Solomon,"Dark Castle Entertainment,Signature Pictures,After Dark Films,Silver Reel,Saints LA,Bomar OOD,thefyzz,Dunulf Productions,Emmitt Productions Limited,ADF Acquisitions"
drama,The Ice Storm,Ang Lee,"Fox Searchlight Pictures,Good Machine,Canal+ Droits Audiovisuels"
"comedy,drama,romance",And So It Goes,Rob Reiner,"Castle Rock Entertainment,Envision Entertainment,ASIG Productions"
"adventure,comedy,family",Troop Beverly Hills,Jeff Kanew,"Columbia Pictures,Weintraub Entertainment Group"
"comedy,drama,romance",Being Julia,Istv\u00e1n Szab\u00f3,Serendipity Point Films
"drama,romance",Nine 1/2 Weeks,Adrian Lyne,"Metro-Goldwyn-Mayer (MGM),Producers Sales Organization (PSO),Jonesfilm,Galactic Films,Triple Ajaxxx"
fantasy,Dragonslayer,Matthew Robbins,"Paramount Pictures,Walt Disney Productions"
"drama,romance",The Last Station,Michael Hoffman,"Zephyr Films,Egoli Tossell Film"
"comedy,drama,history",Ed Wood,Tim Burton,Touchstone Pictures
drama,Labor Day,Jason Reitman,"Mr. Mudd Production,Indian Paintbrush,Right of Way Films"
history,Монгол,Sergei Bodrov,"Kinokompaniya CTB,X-Filme Creative Pool,Andreevsky Flag Film Company,Kinofabrika,Eurasia Film Production"
"action,crime,thriller",RockNRolla,Guy Ritchie,"StudioCanal,Dark Castle Entertainment,Toff Guy Films,Warner Bros."
"action,adventure,science fiction",Megaforce,Hal Needham,"Golden Harvest Company,Northshore Investments Ltd."
drama,Hamlet,Kenneth Branagh,"Castle Rock Entertainment,Turner Pictures (I)"
"drama,romance",Mao's Last Dancer,Bruce Beresford,Great Scott Productions Pty. Ltd.
"adventure,drama,science fiction",Midnight Special,Jeff Nichols,"Warner Bros.,Faliro House Productions,Tri-State Pictures"
"comedy,romance",Anything Else,Woody Allen,"DreamWorks SKG,Granada Film Productions,Perdido Prod.,Canal+"
"drama,history",The Railway Man,Jonathan Teplitzky,"Archer Street Productions,Lionsgate,Pictures in Paradise,Silver Reel,Latitude Media,Thai Occidental Productions"
"crime,drama,mystery",Das weisse Band,Michael Haneke,"Les Films du Losange,Wega Film,Lucky Red,X-Filme Creative Pool"
horror,Restoration,Zack Ward,
"action,crime,horror,romance,science fiction",The Wraith,Mike Marvin,"New Century Entertainment Corporation,Alliance Entertainment,Turbo Productions"
"drama,mystery,thriller",Salton Sea,D.J. Caruso,"Castle Rock Entertainment,Darkwoods Productions"
music,Metallica: Through the Never,Nimr\u00f3d Antal,"Exclusive Media Group,Picturehouse Entertainment"
drama,The Informers,Gregor Jordan,Senator Entertainment Co
"crime,drama,history,thriller",Carlos,Olivier Assayas,"Egoli Tossell Film AG,Canal+,Arte France,Films en Stock"
"drama,thriller",I Come with the Rain,Tran Anh Hung,"Central-Europa Film,Canal+,TF1 International,Morena Films,Lumiere,LeBrocquy Fraser Productions,Better Wide"
"action,drama,history,western",One Man's Hero,Lance Hool,"Filmax,Silver Lion Films,Televisa S.A. de C.V.,Arco Films S.L,Hool/Macdonald Productions,Producciones San Patricia"
"horror,science fiction",Day of the Dead,George A. Romero,"Dead Films,Laurel Entertainment,Toei"
"action,crime,drama,thriller",I Am Wrath,Chuck Russell,"Patriot Pictures,Vallelonga Productions,Vengeance is Mine Productions,Hannibal Classics"
"action,animation,science fiction",Renaissance,Christian Volckman,"Onyx Films,Backup Films,France2 Cinéma,Centre National de la Cinématographie (CNC)"
"action,adventure,fantasy",Red Sonja,Richard Fleischer,"Famous Films (II),Metro-Goldwyn-Mayer (MGM),Dino De Laurentiis Company"
thriller,Red Lights,Rodrigo Cort\u00e9s,"First Generation Films,Antena 3 Films,Televisió de Catalunya TV3,Canal+ España,Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA),Millennium Films,Nostromo Pictures,Generalitat de Catalunya - Institut Català de les Indústries Culturals (ICIC),Cindy Cowan Entertainment,La Sexta,Attitude Pinículas y Films A.I.E."
comedy,Superbad,Greg Mottola,"Columbia Pictures,Apatow Productions"
"comedy,crime,drama",Madea Goes to Jail,Tyler Perry,"Lions Gate Films,Tyler Perry Company, The"
"action,horror",Wolves,David Hayter,"Copperheart Entertainment,Entertainment One,Dark Hero Studios"
"drama,music,romance",Step Up 2: The Streets,Jon M. Chu,"Summit Entertainment,Offspring Entertainment,Touchstone Pictures"
"animation,comedy,family",Hoodwinked!,Cory Edwards,"The Weinstein Company,Kanbar Entertainment,Blue Yonder Films"
"drama,history,war",Hotel Rwanda,Terry George,"Lions Gate Films,United Artists,Industrial Development Corporation of South Africa,Endgame Entertainment,Miracle Pictures,Sixth Sense Productions,Mikado Film,Inside Track Films"
"action,crime,drama,thriller",Hitman,Xavier Gens,"Twentieth Century Fox Film Corporation,Dune Entertainment,Anka Film,EuropaCorp,Daybreak Productions,Prime Universe Productions"
"drama,music",Black Nativity,Kasi Lemmons,"Fox Searchlight Pictures,Malvern Pictures"
"action,thriller",The Prince,Brian A Miller,"Grindstone Entertainment Group,Emmett/Furla Films,Oasis Films,Aperture Entertainment"
thriller,City of Ghosts,Matt Dillon,
"drama,horror,mystery,thriller",The Others,Alejandro Amen\u00e1bar,"Cruise/Wagner Productions,Canal Plus,Sogecine,Las Producciones del Escorpion,Lucky Red,Dimension Films,Miramax"
"action,horror,science fiction,thriller",Aliens,James Cameron,"Twentieth Century Fox Film Corporation,SLM Production Group,Brandywine Productions"
"drama,family,music,romance",My Fair Lady,George Cukor,Warner Bros.
"horror,mystery,thriller",I Know What You Did Last Summer,Jim Gillespie,"Columbia Pictures Corporation,Mandalay Entertainment,Summer Knowledge LLC"
comedy,Let's Be Cops,Luke Greenfield,"Twentieth Century Fox Film Corporation,WideAwake,Genre Films"
"comedy,drama,romance",Sideways,Alexander Payne,"Fox Searchlight Pictures,Michael London Productions,Sideways Productions Inc."
comedy,Beerfest,Jay Chandrasekhar,Broken Lizard Industries
"horror,thriller",Halloween,John Carpenter,"Compass International Pictures,Falcon International Productions"
"comedy,family,science fiction",Good Boy!,John Robert Hoffman,"Jim Henson Pictures,Metro-Goldwyn-Mayer (MGM)"
comedy,The Best Man Holiday,Malcolm D. Lee,Universal
"action,comedy,crime,thriller",Smokin' Aces,Joe Carnahan,"Universal Pictures,StudioCanal,Relativity Media,Scion Films,Working Title Films"
"crime,horror",Saw 3D,Kevin Greutert,"Lionsgate,Twisted Pictures,Serendipity Productions"
"comedy,romance",40 Days and 40 Nights,Michael Lehmann,"Miramax Films,Universal Pictures,Working Title Films"
comedy,A Night at the Roxbury,John Fortenberry,"Paramount Pictures,SNL Studios"
"drama,fantasy,romance",Beastly,Daniel Barnz,"CBS Films,Mel's Cite du Cinema,Storefront Films"
"horror,thriller",The Hills Have Eyes,Alexandre Aja,"Fox Searchlight Pictures,Dune Entertainment,Major Studio Partners,Craven-Maddalena Films"
comedy,Dickie Roberts: Former Child Star,Sam Weisman,"Paramount Pictures,Happy Madison Productions"
drama,"McFarland, USA",Niki Caro,"Walt Disney Pictures,Mayhem Pictures"
comedy,Lottery Ticket,Erik White,"Cube Vision,Sweepstake Productions"
drama,ATL,Christian Robinson,Warner Bros.
"comedy,music,romance",Pitch Perfect,Jason Moore,Brownstone Productions
"comedy,drama,romance",Summer Catch,Mike Tollin,"Tollin/Robbins Productions,Warner Bros."
"crime,drama,thriller",A Simple Plan,Sam Raimi,Paramount Pictures
"horror,thriller",They,Robert Harmon,"Dimension Films,Focus Features,Good Machine,Radar Pictures"
comedy,Larry the Cable Guy: Health Inspector,Trent Cooper,Parallel Pictures
family,The Adventures of Elmo in Grouchland,Gary Halvorson,"Columbia Pictures,Children's Television Workshop,Jim Henson Pictures"
"crime,drama,thriller",Brooklyn's Finest,Antoine Fuqua,"Nu Image Films,Langley Productions,Thunder Road Productions,Fuqua Films,Millennium Films"
"action,drama,history",55 Days at Peking,Nicholas Ray,"Allied Artists Pictures,Samuel Bronston Productions"
horror,Evil Dead,Fede Alvarez,"TriStar Pictures,Ghost House Pictures,FilmDistrict"
"comedy,romance",My Life in Ruins,Donald Petrie,"Fox Searchlight Pictures,26 Films"
"comedy,drama,family",American Dreamz,Paul Weitz,"Universal Pictures,Depth of Field"
"action,adventure,science fiction",Superman IV: The Quest for Peace,Sidney J. Furie,"Cannon Films,Warner Bros.,London-Cannon Films,Golan-Globus Productions"
drama,How She Move,Ian Iqbal Rashid,"MTV Films,Téléfilm Canada,Celluloid Dreams,Astral Media,Canadian Film or Video Production Tax Credit (CPTC),Corus Entertainment,Movie Central Network,Chum Television,Ontario Media Development Corporation (OMDC),Movie Network, The (TMN),Shaw Rocket Fund,Canadian Television Fund,Harold Greenberg Fund,Sienna Films,Ontario Film and Television Tax Credit (OFTTC),Canada Television and Cable Production Fund License Program (CTCPF)"
"action,crime,drama,thriller",Running Scared,Wayne Kramer,"International Production Company,True Grit Productions,Zero Gravity Management,Pierce/Williams Entertainment"
drama,Bobby Jones: Stroke of Genius,Rowdy Herrington,"Dean River Productions,Bobby Jones Films LLC,LIFE(n),McDongall Films"
adventure,Shanghai Surprise,Jim Goddard,"HandMade Films,Vista Organisation, The"
"drama,fantasy,romance,thriller",The Illusionist,Neil Burger,"Michael London Productions,Stillking Films,Bob Yari Productions,Bull's Eye Entertainment,Contagious Entertainment,Revolution Sun Studios"
"adventure,thriller",Roar,Noel Marshall,American Filmworks
"crime,drama,thriller",Veronica Guerin,Joel Schumacher,"Jerry Bruckheimer Films,Touchstone Pictures"
"romance,thriller",Escobar: Paradise Lost,Andrea Di Stefano,"Nexus Factory,uFilm,Jaguar Films,Umedia,Chapter 2,Roxbury"
"action,adventure,comedy,drama,science fiction",Southland Tales,Richard Kelly,"Universal Pictures,Destination Films,Persistent Entertainment,Wild Bunch,Cherry Road Films LLC,MHF Zweite Academy Film,Darko Entertainment,Academy Films,Eden Roc Productions"
"animation,family",Chasseurs de dragons,Guillaume Ivernel,Futurikon
"action,adventure,science fiction",Damnation Alley,Jack Smight,Twentieth Century Fox Film Corporation
"horror,thriller",The Apparition,Todd Lincoln ,"StudioCanal,Dark Castle Entertainment,Warner Bros.,Studio Babelsberg Motion Pictures"
"comedy,drama,family",My Girl,Howard Zieff,"Columbia Pictures,Imagine Entertainment"
"drama,mystery,romance",Fur: An Imaginary Portrait of Diane Arbus,Steven Shainberg,"River Road Entertainment,Edward R. Pressman Film,Iron Film"
"crime,drama",Wall Street,Oliver Stone,Twentieth Century Fox Film Corporation
"drama,romance",Sense and Sensibility,Ang Lee,"Columbia Pictures Corporation,Mirage Enterprises"
"drama,romance",Becoming Jane,Julian Jarrold,"Ecosse Films,2 Entertain,Bueprint Pictures"
comedy,Sydney White,Joe Nussbaum,"Morgan Creek Productions,Clifford Werber Productions,SW7D Productions"
drama,House of Sand and Fog,Vadim Perelman,"DreamWorks SKG,Cobalt Media Group,Bisgrove Entertainment"
drama,Dead Poets Society,Peter Weir,"Touchstone Pictures,Silver Screen Partners IV"
comedy,Dumb and Dumber,Bobby Farrelly,"New Line Cinema,Motion Picture Corporation of America (MPCA)"
"comedy,drama,romance",When Harry Met Sally...,Rob Reiner,"Castle Rock Entertainment,Nelson Entertainment"
drama,The Verdict,Sidney Lumet,Twentieth Century Fox Film Corporation
"adventure,comedy",Road Trip,Todd Phillips,"DreamWorks SKG,The Montecito Picture Company"
"comedy,drama,romance",Varsity Blues,Brian Robbins,"Paramount Pictures,MTV Films"
"comedy,drama,romance",The Artist,Michel Hazanavicius,"France 3 Cinéma,La Petite Reine,Studio 37,uFilm,Jouror Productions,La Classe Américaine,JD Prod"
"horror,mystery,thriller",The Unborn,David S. Goyer,"Rogue Pictures,Phantom Four,Platinum Dunes,Relativity Media"
"comedy,drama,romance",Moonrise Kingdom,Wes Anderson,"Scott Rudin Productions,Indian Paintbrush,Focus Features,American Empirical Pictures,Moonrise"
horror,The Texas Chainsaw Massacre: The Beginning,Jonathan Liebesman,"New Line Cinema,Next Entertainment,Platinum Dunes,Vortex/Henkel/Hooper,Texas Chainsaw Productions"
drama,The Young Messiah,Cyrus Nowrasteh,Focus Features
"comedy,family",The Master of Disguise,Perry Andelin Blake,"Columbia Pictures,Revolution Studios,Happy Madison Productions"
